distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,1,3,1,0.99,1,5,3464.5215480665984,4200.906300678531,4232.8204801978,4484.233460266937,4947.747285734196,7182,3008
norm,1,3,1,0.99,2,5,3080.0945587621527,3713.2280237108407,3743.455175434065,3952.192962238448,4552.742863525503,8743,4964
norm,1,3,1,0.99,3,5,3022.328423446485,3627.0946211853966,3662.0843551264134,3762.3024146670605,4367.768067433158,2545,649
norm,1,3,1,0.99,4,5,2769.102616834053,3186.531986610277,3301.7666444316656,3361.5195695802668,4279.021504702073,5293,50
norm,1,3,1,0.99,5,5,3283.776102111867,3971.098594040246,4006.420751497624,4104.523030835877,4961.788512470621,2455,8499
norm,1,3,1,0.99,6,5,2748.108387014041,3140.7496423845055,3140.7496423845055,3228.4447463581005,3367.955050916701,600,3597
norm,1,3,1,0.99,7,5,2948.478670743965,3507.135652997775,3536.5930351580623,3679.5649097730557,4018.500497223187,5199,5368
norm,1,3,1,0.99,8,5,2807.5134181978337,3243.582526201648,3272.3960446793753,3301.8932702158827,3909.1571060269466,9498,6583
norm,1,3,1,0.99,9,5,2842.0510864567877,3308.3380551689743,3335.331418912347,3360.2605495465423,4193.808648550696,5159,240
norm,1,5,2,0.95,0,7,3582.9485586103797,3659.138528239715,3680.53521459797,3712.263221436209,4102.040175227505,8993,1475
norm,1,5,2,0.95,1,7,3583.330358131898,3837.9565335910866,3864.4956332870447,3935.950127350832,4222.021778756438,6209,7810
norm,1,5,2,0.95,2,7,3573.1763007687937,3636.100331206402,3660.016367257879,3675.3096396368455,3857.8300678034566,3596,7973
norm,1,5,2,0.95,3,7,3572.191478871651,3587.9534007192724,3606.9125739995607,3633.0852061232126,4226.746663350345,3704,8033
norm,1,5,2,0.95,4,7,3638.418547418423,3804.394149102029,3829.175895866922,3876.2415227700726,4230.716121208848,5994,3689
norm,1,5,2,0.95,5,7,3651.2050003322383,3370.9507094783066,3374.7811480744185,3394.4443279425604,3682.18187382162,4523,6667
norm,1,5,2,0.95,6,7,3626.020072024608,3877.683008663845,3994.0592396027428,3935.384326349629,4231.739535052318,7746,302
norm,1,5,2,0.95,7,7,3594.253569944797,3707.6352872335715,3734.388788828084,3783.1571370966553,4130.289513429111,4219,657
norm,1,5,2,0.95,8,7,3590.2074430793405,3414.288110859996,3424.6571340376595,3472.252302751993,3560.110958498477,5328,5291
norm,1,5,2,0.95,9,7,3642.1720119712845,3903.3149686252023,3928.3326944670257,3974.7254179794068,4743.3854656792,963,4599
norm,1,5,2,0.975,0,7,3750.1692311434676,4142.124147917312,4142.124147917312,4309.5692251263745,4784.487258498145,7694,3369
norm,1,5,2,0.975,1,7,3604.99770693083,3646.2649223416943,3665.792012636124,3706.9700681949826,5281.1556685995,125,1811
norm,1,5,2,0.975,2,7,3604.5310801831333,3687.7266717879497,3710.067706330007,3738.8989802377673,4965.657667576902,7995,303
norm,1,5,2,0.975,3,7,3714.971101867994,4045.152876369041,4070.8310941444856,4126.128087760238,4450.881711246813,8300,9562
norm,1,5,2,0.975,4,7,3563.8095993948205,3751.172540460758,3770.2316059638033,3814.6122585699586,4686.484884828167,1358,816
norm,1,5,2,0.975,5,7,3595.528316347437,3447.114290540983,3460.706961483819,3483.2914702715407,4108.960071331592,9222,3547
norm,1,5,2,0.975,6,7,3682.6951449951084,3997.978496955741,4021.985094104208,4092.5153662572884,4662.326083022336,1941,1093
norm,1,5,2,0.975,7,7,3765.1862681130665,4122.968124089175,4151.814915533723,4205.3522336746055,4827.468915085131,4395,8307
norm,1,5,2,0.975,8,7,3632.9231890663577,3886.084739498786,3909.652940907412,3989.8024154009017,4477.425745332452,8565,6815
norm,1,5,2,0.975,9,7,3577.124904405918,3625.9366644813203,3644.949188458447,3675.2546879092806,4170.045061386243,9756,1833
norm,1,5,2,0.99,0,7,3741.412493289109,4110.975423622815,4138.638263125286,4250.098192243795,4644.223829792361,1216,400
norm,1,5,2,0.99,1,7,4028.2729763388356,4570.6945486238465,4608.683234330986,4724.554345168112,5223.963058601844,1380,9208
norm,1,5,2,0.99,2,7,3868.0881916114936,4342.023597308029,4373.545437272287,4475.996176449735,5223.39094374931,2274,6421
norm,1,5,2,0.99,3,7,4204.5898285743515,4865.061442491397,4895.1965025255995,5111.792244071761,5065.788972054713,746,5567
norm,1,5,2,0.99,4,7,3550.655261996583,3467.1030714147573,3479.191493313174,3555.4630710295683,4651.569766921645,69,9550
norm,1,5,2,0.99,5,7,3733.8223123395574,4180.820939238691,4207.192143420784,4334.726900794504,4681.482453903355,4959,102
norm,1,5,2,0.99,6,7,4062.7820189320273,4633.284780333551,4670.4080778857915,4785.465728343004,5164.812908249882,8595,9623
norm,1,5,2,0.99,7,7,3701.4420857291334,3978.411159583074,3978.411159583074,4062.8393062600903,5156.052831042906,1374,8117
norm,1,5,2,0.99,8,7,3777.0794882738383,4187.558936235519,4187.558936235519,4373.678635365306,5173.554501183831,1945,4097
norm,1,5,2,0.99,9,7,3638.401640591298,3579.392082619112,3600.801069225431,3656.8441984617457,5120.531603409007,452,4023
norm,1,10,3,0.95,0,12,5903.2061152785545,4303.5656789231525,4321.214680723612,4457.606551035563,5333.12083350205,7337,7638
norm,1,10,3,0.95,1,12,6475.725945113742,4065.242266291326,4069.277873306834,4205.216888688254,5334.715508333324,9698,3989
norm,1,10,3,0.95,2,12,6953.105697033089,4032.0313354299888,4047.0587976299244,4157.8492895487925,4929.633049067085,7226,4013
norm,1,10,3,0.95,3,12,5946.394512071766,4123.109260825931,4134.202104357664,4274.385910800409,5133.162778241614,830,5049
norm,1,10,3,0.95,4,12,5965.8848549519,4195.141924334978,4212.8789595566,4364.026571495803,5140.612430247238,4434,2715
norm,1,10,3,0.95,5,12,5713.154850847652,4365.175551940702,4388.173106603728,4525.122060133604,5740.478849293676,9768,5587
norm,1,10,3,0.95,6,12,6218.123356767888,4052.507595787023,4052.507595787023,4179.6760987137095,5140.714537938449,2505,8869
norm,1,10,3,0.95,7,12,5769.19010643016,4264.36993832066,4284.209949414025,4409.425534251957,5203.14803538896,5198,9170
norm,1,10,3,0.95,8,12,6163.838866167927,4061.804584372896,4061.804584372896,4194.724662428331,5347.8976791264,4379,4108
norm,1,10,3,0.95,9,12,5858.992154940859,4274.906674474122,4297.566785623316,4437.000014138531,5014.316435242348,858,289
