distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,1,3,1,0.975,2,5,3560.9653248681843,3552.709762808674,3560.088862527046,3569.573578311166,3561.397817665792,3560.24040676413,6585,2704
norm,1,3,1,0.975,4,5,3451.275512309333,3444.825681122821,3449.3408512582596,3452.4961118870397,3449.1164636809704,3449.3630006946605,5582,3675
norm,1,3,1,0.975,3,5,2841.5664751453055,2794.447567527894,2810.8687779124775,2814.9218303311677,2807.227790100267,2807.4430252126967,1986,4568
norm,1,3,1,0.975,5,5,3002.722519025378,2957.349212798944,2987.250014334321,2990.320103121352,2988.3258027234897,2987.802905811242,7455,9519
norm,1,3,1,0.975,6,5,3545.956953405902,3537.8820675415072,3543.2986550013447,3550.4765260447007,3543.4665409627214,3543.493996787561,3642,5812
norm,1,3,1,0.975,8,5,2932.783904408071,2881.414913671782,2912.0482870854585,2926.7031431948712,2912.668951519172,2911.892966193179,2542,2601
norm,1,3,1,0.975,7,5,3352.0612125944654,3335.512725127869,3347.4911513324796,3350.059442119777,3347.4457838326366,3347.597797528505,7089,5293
norm,1,3,1,0.975,9,5,3402.0090485857395,3384.69499007878,3396.7222036500516,3400.8334059658764,3400.8334059658764,3396.719907294521,7911,9033
norm,1,3,1,0.99,0,5,3510.8811454663155,3502.8375337948432,3509.6093065986056,3521.8071615352287,3514.265271394973,3509.08778127155,3775,5091
norm,1,3,1,0.99,1,5,4342.62538173053,4344.098472312918,4342.62538173053,4342.979600773881,4342.517358500637,4342.606107622678,3659,7417
norm,1,3,1,0.99,2,5,4846.206566683242,4847.268821137575,4846.120637750651,4846.177901931599,4846.020573546136,4846.166271089025,2412,85
norm,1,3,1,0.99,3,5,4361.5802674360275,4363.823165474952,4361.714803218793,4363.2353514789265,4362.312974072853,4361.647391519848,8677,4493
norm,1,3,1,0.99,4,5,4388.47410307798,4389.115309862693,4388.47410307798,4391.575337565454,4388.859941622492,4388.339293540768,6180,8931
norm,1,3,1,0.99,5,5,3459.180437871732,3448.693960557151,3456.542907236785,3470.0227355878383,3459.0032850006855,3456.6105556293783,5795,527
norm,1,3,1,0.99,6,5,3350.3426411475734,3338.1381311020377,3347.405519209119,3352.7284894597497,3347.8477930892827,3347.3570461437616,4838,402
norm,1,3,1,0.99,7,5,4641.496128826235,4643.347127458916,4641.532618210532,4641.832300774118,4641.823757478277,4641.516684553389,8071,6973
norm,1,3,1,0.99,8,5,3841.831205846668,3841.516902675069,3841.4831757457105,3845.8517292066836,3842.6378060140505,3841.51386237574,8904,8206
norm,1,3,1,0.99,9,5,3827.4000498826317,3827.3399807116884,3827.4000498826317,3838.0405957519033,3832.9102216513156,3826.6843712373116,5121,3618
norm,1,5,2,0.95,0,7,4148.889788822686,4130.510113100282,4136.568520854759,4164.074355512017,4156.794580619593,4136.586678052513,1416,2886
norm,1,5,2,0.95,1,7,3928.509464273543,3886.6065036163313,3894.8958360284155,3907.344035120209,3895.5238348162134,3897.269410343257,157,7920
norm,1,5,2,0.95,2,7,3813.2793795903317,3769.49024037705,3777.369791101177,3780.6904555358915,3775.588857108809,3777.5219395775907,6318,1078
norm,1,5,2,0.95,3,7,3889.297617701291,3840.644741600924,3855.0171513410487,3901.4473233505055,3875.258050343826,3855.0276114654216,2989,7440
norm,1,5,2,0.95,4,7,3586.200636898275,3522.3518995644704,3464.0663455582458,3471.9315299333066,3474.3275214615715,3465.6133362533046,2296,9037
norm,1,5,2,0.95,5,7,3959.8204235026406,3931.2828340712445,3935.5518048140375,3951.647239894291,3936.093875064025,3935.9995603449756,2797,8076
norm,1,5,2,0.95,6,7,3554.155514499783,3447.2029014704276,3306.2498853804004,3307.725971243864,3325.267120187472,3308.1341317374454,2712,7701
norm,1,5,2,0.95,7,7,3963.53433434375,3922.6340558575057,3925.9348047346666,3955.006135672311,3955.8432861911097,3927.10699743684,2055,8167
norm,1,5,2,0.95,8,7,4224.213455083279,4212.550602529941,4214.642521388592,4215.853202874897,4217.789455649035,4214.820639253826,8215,6419
norm,1,5,2,0.95,9,7,3604.061119072924,3529.2190328030297,3480.5770735872247,3495.965783695301,3494.241304599432,3478.509499769968,8858,6711
norm,1,5,2,0.975,1,7,4321.99152558956,4310.183519083298,4314.16616245765,4324.920661579265,4323.812607454264,4314.412985448016,4514,5953
norm,1,5,2,0.975,0,7,3989.3185714778792,3967.8897488509547,3975.0347942093163,3980.666547423725,3974.1127013558607,3973.2607530362466,3343,3687
norm,1,5,2,0.975,2,7,4329.334362955766,4318.800636871329,4320.899860269573,4326.442385947432,4322.052519270519,4321.594970862381,6809,6740
norm,1,5,2,0.975,3,7,3880.1821451644823,3844.5528516796544,3846.2022204750656,3877.588488309973,3846.444387283117,3847.5382020883903,9957,4602
norm,1,5,2,0.975,4,7,4814.927233239581,4812.333025939128,4813.121480789758,4822.794857259046,4815.833112623695,4813.108960414958,4966,7676
norm,1,5,2,0.975,5,7,4836.96077440319,4835.498529651433,4835.68610175495,4842.871244860133,4844.746847125495,4835.539339992028,5816,8163
norm,1,5,2,0.975,6,7,4407.440035672663,4402.02991236216,4401.2176381352165,4408.591115128402,4401.647170334404,4401.741518224,2236,6285
norm,1,5,2,0.975,7,7,3920.607356477448,3884.8332415391665,3889.017356818731,3906.6854658550305,3897.524737278243,3890.2191150330905,9219,7340
norm,1,5,2,0.975,8,7,4513.900787229314,4508.885670553565,4510.057354998038,4514.998032603251,4510.830971537717,4511.598563092124,3161,4155
norm,1,5,2,0.975,9,7,3979.6754599812366,3950.005525304634,3956.5475527874064,3980.5030605649035,3964.942154909739,3956.4608795604763,5387,7308
norm,1,5,2,0.99,0,7,5169.816984388078,5170.6892074671405,5168.612215946055,5169.18292490437,5168.6087715068015,5168.608018061991,6124,1492
norm,1,5,2,0.99,1,7,4576.925393733635,4567.86949566571,4572.524381976273,4577.599823802301,4576.1647099149595,4572.7856711499535,2295,3569
norm,1,5,2,0.99,2,7,4897.213173732922,4895.88277010886,4895.868829679213,4900.342073582162,4898.550541519669,4895.895884952776,6428,9584
norm,1,5,2,0.99,3,7,5080.799738524583,5082.023196029747,5080.6330603047345,5082.84779611806,5081.52309297196,5080.974728512476,8059,2339
norm,1,5,2,0.99,4,7,4377.6915892333955,4370.597114609565,4371.351761854174,4380.815995454238,4375.906456592809,4372.313914868129,8759,2092
norm,1,5,2,0.99,5,7,5293.419792106392,5291.312662733381,5291.963131456567,5292.688610405594,5292.356413317406,5292.055428194821,8582,347
norm,1,5,2,0.99,6,7,5707.574548016641,5709.608984656409,5708.159908462353,5708.720017742004,5708.569879503279,5708.218414413023,3307,940
norm,1,5,2,0.99,7,7,4043.154526169863,4015.207241120579,4022.7243446321822,4030.458098417364,4022.814657056294,4022.3512228877803,578,217
norm,1,5,2,0.99,8,7,4666.547702991018,4662.688010243373,4663.39247535123,4663.871334357784,4663.458748389695,4663.641226826082,3738,9477
norm,1,5,2,0.99,9,7,4975.247918445511,4976.363156086601,4974.754178167645,4981.828868004089,4980.617298337763,4974.630334720526,2058,8493
norm,1,10,3,0.95,0,12,5456.211314187169,5294.537511179373,5204.167866191952,5229.228070342814,5215.013844152424,5203.423416245476,4506,1045
norm,1,10,3,0.95,1,12,5461.6185173038675,5274.357567293908,5138.158516204804,5145.726258212747,5144.745607430812,5143.051456593894,6787,1728
norm,1,10,3,0.95,2,12,5457.21018029975,5262.576393315257,5148.370750712744,5175.833896686479,5168.281885037034,5151.17225891879,6130,4773
norm,1,10,3,0.95,3,12,5379.716414827054,5117.678846123131,4973.106700858373,5044.983221529701,5066.4231113541855,4984.044631819838,4973,1093
norm,1,10,3,0.95,4,12,5483.8251486944555,5313.741621975958,5226.317367066875,5240.132660640579,5238.409746017952,5226.841066204571,3362,4108
norm,1,10,3,0.95,5,12,5467.90824672386,5272.513659371519,5160.851743367603,5201.642966350613,5199.03793749159,5159.001699980615,5861,5149
norm,1,10,3,0.95,6,12,5519.075013984557,5386.2973650420045,5302.50096235913,5352.482839229082,5319.699508360183,5296.4191622619055,47,9805
norm,1,10,3,0.95,7,12,6003.120948059607,5941.353710937873,5928.607975051481,5983.839097751042,5956.954130561342,5929.125795883414,1216,400
norm,1,10,3,0.95,8,12,5721.189524919043,5613.745953450448,5580.8232194304655,5601.600525012847,5579.270629857487,5576.7908376395935,8126,9833
norm,1,10,3,0.95,9,12,6117.536906954553,6086.5280690052305,6078.0161038010765,6090.614174710499,6093.834400155964,6081.145134959663,2712,9555
norm,1,10,3,0.975,0,12,5655.261869164864,5516.312415545153,5430.89491052126,5435.20617426136,5441.601206639191,5430.621664447341,9564,2380
norm,1,10,3,0.975,1,12,5681.644802893748,5589.603339264391,5570.862021528596,5574.082522602937,5571.108270826152,5571.373637197339,69,9550
norm,1,10,3,0.975,2,12,5738.422272157376,5604.862914342158,5552.001925662533,5583.624627960476,5580.024774955366,5549.556783656397,8915,3776
norm,1,10,3,0.975,3,12,5520.922862777568,5344.373901410139,5241.904893550487,5274.846573875922,5280.65725034664,5244.873006305797,1729,7925
norm,1,10,3,0.975,4,12,5435.158143991658,5147.9575962348,4971.447730812473,4972.876361378897,4971.447730812473,4988.692233082127,8634,3779
norm,1,10,3,0.975,5,12,5846.200269201227,5782.837316428995,5768.791494794692,5805.404941751031,5796.532576065146,5771.741725815213,1945,4097
norm,1,10,3,0.975,6,12,5786.353566624191,5701.677353197453,5676.72844904313,5679.523642386297,5681.601534163789,5678.46288150727,1993,6698
norm,1,10,3,0.975,7,12,6466.905414936269,6450.401520302028,6452.207310704784,6470.81972030183,6506.574418910521,6452.078080508255,9389,3843
norm,1,10,3,0.975,8,12,6000.850186643768,5948.72253008998,5931.45493555223,5934.268160872024,5931.797730019732,5940.385185554742,6114,5094
norm,1,10,3,0.975,9,12,5839.423206878444,5745.474164831294,5736.590913770347,5762.34628635964,5738.074640850551,5738.4316750023145,7226,4013
norm,1,10,3,0.99,0,12,5722.085547064139,5611.935188378196,5570.756489128531,5609.522445687795,5583.993937530046,5569.229484788083,7602,6035
norm,1,10,3,0.99,1,12,5747.250281732543,5649.594273408668,5621.235834164159,5636.378749812218,5613.987101913034,5613.633576296815,5775,8076
norm,1,10,3,0.99,2,12,6651.386331982422,6629.779771990362,6627.696053585302,6643.541515735543,6645.787957466601,6626.707200860284,4210,1605
