distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
binom,2,8,3,0.95,11,4.5,1703.295476466,2265.0919878426976,2277.9705236496966,2309.3186395005005,2526.7391590220004,5613.0,3582.9
binom,2,8,3,0.975,11,4.5,1875.9613206459987,2491.2165150708774,2506.5096657347262,2557.3324369999987,2886.1892290319984,4108.2,4550.8
binom,2,8,3,0.99,11,4.5,2052.601464340002,2679.8444713634663,2695.3849450936177,2787.7719736625018,3101.0330056310027,3858.6,4172.2
binom,2,10,3,0.95,13,4.5,1774.1588422050002,2318.179333803819,2326.9289189492943,2396.411931388572,2733.136622499,5224.9,4295.9
binom,2,10,3,0.975,13,4.5,1923.716961050999,2519.352201615181,2520.9046564953924,2611.5001789511416,3089.9048617959984,6408.7,5474.0
binom,2,10,3,0.99,13,4.5,1978.1861844890009,2586.2446050156877,2589.7008750453747,2687.1236579565725,3359.1748726040023,4721.0,5207.3
geom,1,2,1,0.95,4,4.5,525.5653,642.8653929938484,661.3898036616666,745.8361,645.9247899999999,6486.1,4259.9
geom,1,2,1,0.975,4,4.5,629.6050499999993,749.3004108217671,765.2790009795448,849.5965499999993,804.1112074999993,5270.7,3592.3
geom,1,2,1,0.99,4,4.5,720.0887650000011,840.8879453234961,855.465904464183,940.142665000001,911.4629850000014,4932.3,3731.2
geom,1,3,1,0.95,5,4.5,526.1391062539999,639.4679221660706,649.5558770876968,673.1169949079998,721.1209647109998,4949.6,5952.9
geom,1,3,1,0.975,5,4.5,623.3007512019992,740.650949422868,752.5794114943427,810.244697423999,846.4547150649996,4781.4,7083.0
geom,1,3,1,0.99,5,4.5,732.1921418040008,851.97400383893,867.8466435212029,941.188465109001,1032.1250435480008,4138.1,5541.2
geom,1,5,2,0.95,7,4.5,644.4106987189999,753.3196541835352,765.8870876459091,764.3930838379999,860.8463098919999,5947.9,4360.5
geom,1,5,2,0.975,7,4.5,816.2123492939993,932.6448533496357,948.9622897889285,982.7185693517491,1063.7395377279993,4219.4,6536.0
geom,1,5,2,0.99,7,4.5,898.3625412810009,1017.278508424122,1035.6199636112938,1096.295656331001,1237.386549188001,6542.8,4726.6
geom,1,8,3,0.95,10,4.5,790.1441907259999,888.0867859799898,900.1161818981111,894.762241871,1053.1200803529998,6192.0,4720.9
geom,1,8,3,0.975,10,4.5,850.8269893369998,958.5878848217977,979.4120374638784,970.6792323599997,1239.027029584999,5819.0,4036.0
geom,1,8,3,0.99,10,4.5,943.3917901860013,1055.805703491961,1081.0422778484963,1071.3723221560015,1358.0076665200015,4390.8,4712.7
geom,1,10,3,0.95,12,4.5,814.477371655,907.3472849191718,912.3068802637575,916.8631388585385,1142.965413124,4049.2,4636.9
geom,1,10,3,0.975,12,4.5,922.7123612129993,1029.4184959617266,1047.102194489868,1040.9397681715377,1299.1174942059993,5372.6,3657.7
geom,1,10,3,0.99,12,4.5,1066.3712870430004,1179.7583776920512,1200.1934716403844,1203.7162716853084,1628.123998142001,4982.9,5539.2
geom,2,2,1,0.95,5,4.5,583.4194399999999,782.2112473021009,791.1846054323635,1023.9732399999999,770.8655199999998,5719.5,3987.0
geom,2,2,1,0.975,5,4.5,588.2825799999995,787.7144908086661,800.4814357904844,1020.5943799999993,811.0478049999995,5358.2,3327.6
geom,2,2,1,0.99,5,4.5,742.1923000000007,946.8128885919199,959.9053589812938,1181.9321000000004,1013.1170870000008,6372.6,5368.0
geom,2,3,1,0.95,6,4.5,513.8913125519999,699.4872718077979,710.7990666702019,714.2107326084285,763.6251362109999,5211.3,5795.6
geom,2,3,1,0.975,6,4.5,688.7742591749995,888.2771639550398,901.8064468809591,1036.7438530222853,960.9447396969992,3688.6,5741.8
geom,2,3,1,0.99,6,4.5,807.1706026040015,1011.0469950627794,1032.4510589980923,1208.9065395660014,1090.2100008610016,4332.6,4183.9
geom,2,5,2,0.95,8,4.5,672.463353206,852.5073630756666,861.1227394841615,868.966254336,966.9129684819998,5458.1,4766.7
geom,2,5,2,0.975,8,4.5,710.8500474989995,895.943848930636,905.5200894023732,928.0642562229993,991.1064897589993,5548.1,7183.3
geom,2,5,2,0.99,8,4.5,944.5763602040008,1144.1102087571421,1162.3692066410715,1287.4180003620008,1269.7706561500008,5057.6,5805.6
geom,2,8,3,0.95,11,4.5,812.3293770180001,981.8868179966667,991.6979052337778,994.4467175095,1133.6887874929998,3761.7,5151.9
geom,2,8,3,0.975,11,4.5,883.2597036689992,1066.2423513687972,1076.5267330876861,1089.3129321294991,1230.4751634069994,4823.0,5252.0
geom,2,8,3,0.99,11,4.5,978.1836104150012,1164.2683524632437,1183.3423663317285,1211.8327239755013,1444.1963344380013,5698.0,5487.1
geom,2,10,3,0.95,13,4.5,823.0736264909999,983.1554528616364,995.8571156641616,996.6498454635714,1155.9029439719998,5822.9,3789.6
geom,2,10,3,0.975,13,4.5,857.0446275349996,1024.3477670303632,1035.5755980922117,1039.423903290714,1293.3458215889991,4797.2,4117.8
geom,2,10,3,0.99,13,4.5,985.4718518430009,1169.5601373965565,1194.839463790183,1196.704407774287,1491.7467122940018,4363.7,3994.0
norm,1,2,1,0.95,4,4.5,2213.2471208215966,3038.4139538580957,3071.477413414147,3193.135373577023,2970.2768919936375,5371.8,5106.6
norm,1,2,1,0.975,4,4.5,2504.014709853229,3342.152102221748,3362.0621092425863,3907.3600027357156,3333.132731723604,5101.7,3937.1
norm,1,2,1,0.99,4,4.5,2680.5960862183592,3531.3028812085176,3557.7609347616767,4221.751707585055,3540.0233525086014,3324.2,5246.8
norm,1,3,1,0.95,5,4.5,2226.4401473367193,3037.510585617833,3069.233186205338,3054.380415084124,3291.842584710874,4461.7,3008.9
norm,1,3,1,0.975,5,4.5,2423.7548828018353,3252.7685993669206,3287.955662552825,3336.8041293943315,3740.7202600650753,6100.1,2651.9
norm,1,3,1,0.99,5,4.5,2863.225201015582,3709.821904040721,3749.973110390753,3932.1803816052534,4174.843594612985,4436.8,4852.0
norm,1,5,2,0.95,7,4.5,2846.758100375354,3629.7329374881288,3658.129343413325,3691.6801397784257,4034.999533878082,6777.6,4336.2
norm,1,5,2,0.975,7,4.5,3087.9833900290164,3893.809201117274,3912.7770280439713,3986.821533415953,4552.7155541880375,4326.0,5838.8
norm,1,5,2,0.99,7,4.5,3417.509260350978,4243.40900865541,4278.4651745801975,4374.595524201036,4977.464525175615,4811.4,5855.0
norm,1,8,3,0.95,10,4.5,3309.7633393608944,4023.776857600273,4032.9895459760673,4126.481758742593,4797.118599673398,6426.7,4651.0
norm,1,8,3,0.975,10,4.5,3668.5863587290514,4429.666680027067,4468.620288675378,4556.402485214008,5456.334607737871,3735.3,5578.1
norm,1,8,3,0.99,10,4.5,3953.049466972373,4745.358548561563,4811.552502886,4902.284643923286,6025.395265227378,4946.9,5153.1
norm,1,10,3,0.95,12,4.5,3492.533170454661,4203.668329774649,4220.814806691119,4348.3534519740315,5653.233336106173,3958.4,5387.0
norm,1,10,3,0.975,12,4.5,3690.783859257831,4451.265741533101,4481.674045496831,4614.4721428961075,5955.424464282269,7682.0,5292.1
norm,1,10,3,0.99,12,4.5,3983.582986122975,4768.363742288969,4790.275890971467,4946.28350743835,6657.371910026622,4334.4,4388.8
norm,2,2,1,0.95,5,4.5,2245.693296813156,3528.990625105227,3537.369646092433,3785.1463942271303,3138.897749591986,2962.6,4754.4
