distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
binom,2,5,2,0.975,8,4.5,2083.9756799999986,2079.043427599998,2073.2428232046755,2079.2707919509076,2075.1808161249987,2073.757718124999,5054.7,4999.9
binom,2,5,2,0.99,8,4.5,2531.823579000001,2531.7695820000013,2527.7390083805262,2532.4062349528294,2528.165914750001,2527.141448490001,5096.7,4760.6
binom,2,10,3,0.95,13,4.5,2836.68757,2745.87105354,2690.9080628515558,2708.6540381651803,2698.3625495857145,2693.5184059000003,3888.3,3917.9
binom,2,10,3,0.975,13,4.5,2990.471504999999,2956.108628023999,2944.895405139864,2968.84066822256,2959.3271864214275,2940.679944224999,4425.6,4814.8
binom,2,10,3,0.99,13,4.5,3301.3894660000014,3286.576718716002,3282.290342300422,3295.4230133963474,3287.259350364287,3282.506417950002,4266.3,4835.3
geom,1,3,1,0.95,5,4.5,704.38257,688.9666488199999,689.3352795628585,691.0527091565151,689.7537568999999,689.3424702499999,6347.7,4339.6
geom,1,3,1,0.975,5,4.5,891.2266149999994,883.6635509959993,885.8012044759993,886.7361951562418,885.9370274749994,885.7994904249994,5569.0,5349.5
geom,1,3,1,0.99,5,4.5,917.3011320000008,913.403934998001,914.2918922696172,914.9866113220818,914.385294680001,914.290485870001,3842.7,4802.4
geom,1,5,2,0.95,7,4.5,885.6287199999999,860.5140427019999,855.5783437763887,858.9138003147233,856.4765271499998,855.5759098999999,5575.7,5361.8
geom,1,5,2,0.975,7,4.5,1022.5234599999994,1009.6008279019994,1008.8705677721093,1009.7045988829539,1009.3916509718745,1008.8883770749995,6367.9,5334.3
geom,1,5,2,0.99,7,4.5,1233.642812000001,1229.346592572001,1230.425558907688,1231.6405747093459,1230.754307781251,1230.416083750001,4272.2,5187.2
geom,1,10,3,0.95,12,4.5,1243.036545,1163.47937768,1141.3849361836433,1147.1300977130938,1144.4830822692306,1141.373627,4726.3,4657.0
geom,1,10,3,0.975,12,4.5,1295.9611199999995,1255.5770473439993,1246.6925115054812,1252.0278723968138,1252.3406714999994,1246.6907331749994,6498.0,5126.1
geom,1,10,3,0.99,12,4.5,1476.9973650000013,1459.5079032360013,1457.345020202044,1462.6911580736564,1461.103206606155,1457.3014352300013,6067.1,4824.5
geom,2,3,1,0.95,6,4.5,696.34191,680.099673214,675.4179071296016,678.1422746099047,675.6139784285713,675.4142611999999,4619.1,4707.8
geom,2,3,1,0.975,6,4.5,849.4610699999996,842.6330048639995,843.2317202861987,846.745418453154,844.2168047999996,843.2174783749995,5249.8,3844.7
geom,2,3,1,0.99,6,4.5,986.079347000001,983.392288042001,983.4761240397527,984.4703758313026,983.533637162858,983.4826976000011,4863.5,6943.2
geom,2,5,2,0.95,8,4.5,915.77118,897.713782825,894.0859103507676,901.8975172540504,894.9740412499998,894.1096956499998,4983.3,4465.9
geom,2,5,2,0.975,8,4.5,1008.4998574999996,996.6086215289995,995.1729840093025,996.7931203981612,995.6937535749996,995.1972353749994,6990.8,5801.1
