distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,0.5,3,1,0.975,3,4.5,3760.367254084552,3755.481731398441,4825.250297824407,3762.121098761931,2880,8922
norm,0.5,3,1,0.975,4,4.5,3662.387507429822,3655.2664366070785,4723.599276833069,3664.2892671462696,2410,400
norm,0.5,3,1,0.975,5,4.5,3654.430983178904,3647.7308802576586,4916.146060158243,3652.469125243087,69,9550
norm,0.5,3,1,0.975,6,4.5,3553.81247080372,3540.9464618936986,4592.07291480367,3552.9827553660116,1945,4097
norm,0.5,3,1,0.975,7,4.5,3463.1396294118167,3440.8417779116753,4485.9419185370725,3458.526304397338,7226,4013
norm,0.5,3,1,0.975,8,4.5,3471.7302990178828,3455.099403231207,4486.614285158746,3470.8152965555937,2505,8869
norm,0.5,3,1,0.975,9,4.5,3326.4888628574627,3308.3541761366882,4308.629801066949,3327.5929384136803,4694,3037
norm,0.5,3,1,0.99,0,4.5,4051.4483194037584,4048.9018081708878,5131.58681917084,4051.455276572422,1170,6451
norm,0.5,3,1,0.99,1,4.5,4229.048063065266,4228.474999524245,5328.88055155134,4229.574785496017,6379,8988
norm,0.5,3,1,0.99,2,4.5,3882.94693402459,3884.0813779281,4955.949946770185,3882.7642782886087,9185,4931
norm,0.5,3,1,0.99,3,4.5,4400.431190241407,4402.019554468084,5510.3201362603995,4401.1381322777515,4259,4519
norm,0.5,3,1,0.99,4,4.5,4305.095402697001,4305.790944700035,5410.936695513849,4305.287002980286,5059,6485
norm,0.5,3,1,0.99,5,4.5,4066.947325869185,4064.7315297005994,5155.578559633368,4066.179997519152,5513,3284
norm,0.5,3,1,0.99,6,4.5,4140.0894138549775,4137.968081695198,5225.117837065551,4140.332606241335,7870,8820
norm,0.5,3,1,0.99,7,4.5,4205.787946136893,4206.1859582111865,5305.771871932602,4206.827274938181,4059,9458
norm,0.5,3,1,0.99,8,4.5,4083.1932683323334,4084.7334848850487,5172.894535073392,4083.86252803653,9818,220
norm,0.5,3,1,0.99,9,4.5,4150.872637970538,4149.802067279298,5244.693667009949,4150.32085050682,6678,9741
norm,0.5,3,2,0.95,0,4.5,3191.3701374723382,3197.5669497913204,4664.286250892446,3190.407297379913,3460,4031
norm,0.5,3,2,0.95,1,4.5,3170.907665111843,3180.1398918305413,4629.350471475195,3170.1956793671848,4225,296
norm,0.5,3,2,0.95,2,4.5,2997.6624670594706,3005.112556338575,4382.025596957044,2993.9222706692176,1715,1185
norm,0.5,3,2,0.95,3,4.5,3091.353227784659,3096.172142952869,4532.829209675904,3088.966501290071,5781,1649
norm,0.5,3,2,0.95,4,4.5,3093.1925188481664,3101.4026269155797,4540.591723194959,3091.8033035727103,8909,6082
norm,0.5,3,2,0.95,5,4.5,3093.785226529238,3100.3505197142294,4535.0824689986985,3092.960606815566,6074,6255
norm,0.5,3,2,0.95,6,4.5,3239.856627536308,3247.795787700338,4745.328405159915,3239.806502919988,8456,2271
norm,0.5,3,2,0.95,7,4.5,3087.6251811860398,3095.508734917731,4508.797839275629,3085.0106360185937,7293,1090
norm,0.5,3,2,0.95,8,4.5,3140.6353563767316,3149.3110320631654,4607.605988675938,3139.447021274997,5939,1720
norm,0.5,3,2,0.95,9,4.5,3195.7197735051996,3202.5202501000435,4674.172167671556,3194.53713095067,6978,9023
norm,0.5,3,2,0.975,0,4.5,3576.511766940419,3581.8755233280704,5143.319903357392,3576.25561639287,562,5800
norm,0.5,3,2,0.975,1,4.5,3685.7464283002764,3690.114742498962,5264.150800193572,3685.660708719642,5877,7602
norm,0.5,3,2,0.975,2,4.5,3395.000520958951,3401.887364265541,4932.180055099817,3394.6657646441085,1833,9039
norm,0.5,3,2,0.975,3,4.5,3516.1137030926457,3521.6006439516664,5077.0375451141035,3515.834270364636,8518,1686
norm,0.5,3,2,0.975,4,4.5,3813.5299520201756,3817.206937231038,5416.9211700734695,3813.4257399347243,2038,8866
norm,0.5,3,2,0.975,5,4.5,3472.043186615179,3477.5379295617186,5025.484254612587,3472.058772491402,2478,5871
norm,0.5,3,2,0.975,6,4.5,3579.2049041264236,3584.218573167145,5146.7710452405245,3579.1144204348075,3640,2331
norm,0.5,3,2,0.975,7,4.5,3486.7125990964164,3491.9865787434996,5045.05857863565,3486.7010559820055,5189,3028
norm,0.5,3,2,0.975,8,4.5,3582.735682682847,3587.740636455567,5152.007593492923,3582.681619438969,4840,3987
norm,0.5,3,2,0.975,9,4.5,3600.4185792830845,3605.492967274655,5171.0905012842595,3600.229906461311,245,7736
norm,0.5,3,2,0.99,0,4.5,3844.3915873680635,3847.652286576462,5443.166243208383,3844.3378568869025,2586,9448
norm,0.5,3,2,0.99,1,4.5,4192.239744579353,4194.027579245584,5823.043826523566,4192.164727872245,2195,9056
norm,0.5,3,2,0.99,2,4.5,4009.615171496383,4012.358273049752,5617.958666424574,4009.597426838448,3227,9638
norm,0.5,3,2,0.99,3,4.5,4320.156605506866,4321.889691358127,5956.304021409074,4320.152062631242,5996,5628
norm,0.5,3,2,0.99,4,4.5,4218.992039200522,4220.914073305067,5842.003798019162,4219.005235453805,299,5805
norm,0.5,3,2,0.99,5,4.5,4160.336504270871,4162.322110546586,5779.765526290085,4160.37654965978,2664,6224
norm,0.5,3,2,0.99,6,4.5,4287.271027501349,4288.962376112987,5935.73298394198,4287.269959361827,3434,2229
norm,0.5,3,2,0.99,7,4.5,3983.2050124285342,3986.045511643848,5597.87328151418,3983.2060670045976,8259,7106
norm,0.5,3,2,0.99,8,4.5,4177.190760753749,4179.2117927370455,5809.874860946663,4177.236081067759,6263,9217
