distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,3,1,0.975,6,4.5,1857.2235,1627.6817037037038,1638.6108000000002,1708.4211,8338,8454
binom,0.5,3,1,0.975,7,4.5,1717.0832624999982,1551.3096539141395,1558.2594999999983,1618.476837499998,1249,2352
binom,0.5,3,1,0.975,8,4.5,1802.4685,1626.717048821549,1635.84277,1696.6780500000002,5856,7315
binom,0.5,3,1,0.975,9,4.5,1729.667,1555.0282037037036,1565.7104000000002,1616.6925,9997,1995
binom,0.5,3,1,0.99,0,4.5,2063.7225,1877.6102614478118,1886.721156,1995.954428,1021,7780
binom,0.5,3,1,0.99,1,4.5,1979.9425,1795.6126619023569,1804.2363355999998,1883.3023666000001,8973,6486
binom,0.5,3,1,0.99,2,4.5,2119.7805,1878.5747828282829,1891.6942199999996,1971.3387400000001,5507,7601
binom,0.5,3,1,0.99,3,4.5,1977.3855,1794.7966717171719,1803.94946,1883.0062199999998,789,1042
binom,0.5,3,1,0.99,4,4.5,1989.4745,1801.2264506565655,1810.9192171,1887.8448332,5497,8212
binom,0.5,3,1,0.99,5,4.5,2063.489,1878.7727356060602,1890.0659285000002,1974.2090925999998,4537,4614
binom,0.5,3,1,0.99,6,4.5,2064.1579500000003,1876.7095493265992,1887.88985,1971.90153,6041,5920
binom,0.5,3,1,0.99,7,4.5,1981.5805,1796.2941575084176,1804.9581494,1883.7257120000002,463,6539
binom,0.5,3,1,0.99,8,4.5,1886.3125,1708.1745673400676,1717.7914700000001,1785.5344,1632,9861
binom,0.5,3,1,0.99,9,4.5,1892.224,1708.5968442929293,1718.9083808,1787.40634125,1190,7652
binom,0.5,3,2,0.95,0,4.5,1637.8227499999996,1751.263431818181,1722.50403,1766.87261,2921,6995
binom,0.5,3,2,0.95,1,4.5,1631.7430249999966,1747.734134848482,1716.6445549999967,1774.9060449999963,5605,1223
binom,0.5,3,2,0.95,2,4.5,1561.559,1685.447287878788,1654.00987,1709.6981400000002,8770,704
binom,0.5,3,2,0.95,3,4.5,1629.321,1742.0289090909082,1714.2221000000002,1738.3549745454527,4331,3194
binom,0.5,3,2,0.95,4,4.5,1704.59,1814.1589696969697,1783.3720500000002,1840.8499,2826,754
binom,0.5,3,2,0.95,5,4.5,1634.545,1748.458287878788,1717.5003700000002,1789.2940999999998,6451,364
binom,0.5,3,2,0.95,6,4.5,1640.181,1754.69059090909,1724.38552,1768.7845999999997,2134,9914
binom,0.5,3,2,0.95,7,4.5,1565.557,1689.0468181818173,1657.60858,1698.79652,9926,6034
binom,0.5,3,2,0.95,8,4.5,1555.1825,1678.6833181818174,1647.71652,1678.2836599999998,7197,4696
binom,0.5,3,2,0.95,9,4.5,1711.3697499999996,1821.2899772727264,1791.87031,1862.61459,1961,7648
binom,0.5,3,2,0.975,0,4.5,1752.2932374999984,1893.9241078282823,1860.4266124999979,1963.6928674999979,4796,4740
binom,0.5,3,2,0.975,1,4.5,1788.7423124999982,1894.3100481481463,1863.5393374999985,1958.8409499999977,2821,8182
binom,0.5,3,2,0.975,2,4.5,1781.6215625000007,1887.7634261363626,1855.9101725,1920.0084375000008,7493,1964
binom,0.5,3,2,0.975,3,4.5,1758.8515,1897.999984848484,1864.9924,1940.9268200000001,2714,1656
binom,0.5,3,2,0.975,4,4.5,1872.2858624999978,1974.1578559343404,1943.4234924999982,2071.173052499998,7351,8888
binom,0.5,3,2,0.975,5,4.5,1860.905,1963.2760925925922,1934.2398000000003,2000.5431999999996,2119,6888
binom,0.5,3,2,0.975,6,4.5,1946.2515625000008,2048.1131180555553,2016.7463625000003,2140.7727625,6672,6138
binom,0.5,3,2,0.975,7,4.5,1780.8115,1886.4014545454536,1854.7851400000002,1937.469,2561,8242
binom,0.5,3,2,0.975,8,4.5,1755.5445625000004,1893.5743390151515,1862.7466494999999,1927.5259406249997,1707,4717
binom,0.5,3,2,0.975,9,4.5,1755.845,1895.273457912459,1861.67254,1965.62044,4794,4940
binom,0.5,3,2,0.99,0,4.5,2109.9717649999993,2207.2402581313127,2183.3453649999997,2303.6655749999986,6546,4458
binom,0.5,3,2,0.99,1,4.5,2082.0145,2214.7263383838376,2187.5655599999996,2307.6266399999995,4307,737
