distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,3,1,0.99,1,4.5,994.36995,890.666561111111,891.1073300000002,928.03139,7496,6719
geom,0.5,3,1,0.99,2,4.5,993.2775,889.4489865319866,890.1341000000001,929.09813,6398,7292
geom,0.5,3,1,0.99,3,4.5,1168.1965,1061.341616161616,1061.9181500000004,1102.71518,5836,4899
geom,0.5,3,1,0.99,4,4.5,993.8765,890.2760370370371,890.76313,929.2735200000002,9319,8823
geom,0.5,3,1,0.99,5,4.5,994.566,890.7882087542088,891.5303500000001,930.3852800000002,2826,4718
geom,0.5,3,1,0.99,6,4.5,1081.099,975.518292222222,976.1522364999998,1015.9492304,5381,8480
geom,0.5,3,1,0.99,7,4.5,907.3009500000002,806.320487037037,806.9026600000002,841.39475,6237,200
geom,0.5,3,1,0.99,8,4.5,906.7525,805.6563585858585,806.0384000000001,843.612,2628,291
geom,0.5,3,1,0.99,9,4.5,997.5591549999994,892.5068412962955,893.0689599999993,931.6535849999992,1141,2161
geom,0.5,3,2,0.95,0,4.5,705.162,711.0008636363638,710.9919699999998,740.8319,4015,7434
geom,0.5,3,2,0.95,1,4.5,737.3355,713.1805303030305,713.2048800000001,740.7010600000001,968,8042
geom,0.5,3,2,0.95,2,4.5,736.6805,711.4298636363637,711.4076199999998,741.5894599999999,6855,8598
geom,0.5,3,2,0.95,3,4.5,707.693,713.9337424242425,713.92842,741.9774399999999,4799,3518
geom,0.5,3,2,0.95,4,4.5,810.313,780.9722727272729,781.0757200000002,816.13455,4916,4504
geom,0.5,3,2,0.95,5,4.5,739.162,714.1116060606062,714.06373,743.88613,595,9261
geom,0.5,3,2,0.95,6,4.5,707.0162499999998,713.0133863636364,712.9920699999999,740.52326,9596,4012
geom,0.5,3,2,0.95,7,4.5,668.571,650.3693518518518,648.8113199999999,673.4110800000001,6863,8874
geom,0.5,3,2,0.95,8,4.5,737.427,713.0730151515153,713.05557,741.5571199999999,296,1833
geom,0.5,3,2,0.95,9,4.5,735.1325,711.6197424242424,711.6309,739.56914,2184,9617
geom,0.5,3,2,0.975,0,4.5,938.9265,940.0585454545455,939.964,980.3285,5581,2769
geom,0.5,3,2,0.975,1,4.5,857.2495,859.7875235690237,860.2348,896.68875,9257,4102
geom,0.5,3,2,0.975,2,4.5,782.7155,785.9982710437712,786.3612999999999,819.90002,2708,4964
geom,0.5,3,2,0.975,3,4.5,857.86,860.3189040404042,860.75687,897.523485,841,5544
