distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
geom,0.5,3,1,0.99,1,4.5,1082.5879499999999,1080.8639934,1250.6371696969697,1081.35845,7496,6719
geom,0.5,3,1,0.99,2,4.5,1162.6504499999999,1162.8428880555555,1329.3818787878788,1162.071905,6398,7292
geom,0.5,3,1,0.99,3,4.5,1002.811,1000.3793392,1159.8311666666666,1001.154,5836,4899
geom,0.5,3,1,0.99,4,4.5,1081.7735,1079.3510445555555,1243.7195454545454,1080.4073,9319,8823
geom,0.5,3,1,0.99,5,4.5,1164.9855,1163.5031233333334,1331.1252727272727,1164.19825,2826,4718
geom,0.5,3,1,0.99,6,4.5,1003.7498149999991,998.3039941111103,1162.709276666666,1001.4868099999991,5381,8480
geom,0.5,3,1,0.99,7,4.5,1078.47995,1077.5648826222225,1245.0006166666667,1077.82395,6237,200
geom,0.5,3,1,0.99,8,4.5,996.101,993.747216,1157.5078333333336,994.4605,2628,291
geom,0.5,3,1,0.99,9,4.5,1086.3594500000002,1082.6447946,1246.9469045454546,1084.89382425,1141,2161
geom,0.5,3,2,0.95,0,4.5,697.304,689.4808770833333,888.4111515151516,693.2775,4015,7434
geom,0.5,3,2,0.95,1,4.5,764.1065,758.4178456,968.9095681818184,761.3487499999999,968,8042
geom,0.5,3,2,0.95,2,4.5,696.802,690.9489032666667,885.2252272727275,693.324,6855,8598
geom,0.5,3,2,0.95,3,4.5,701.305,689.8919073999999,882.8124772727273,696.5592699999999,4799,3518
geom,0.5,3,2,0.95,4,4.5,762.055,755.2055164999999,973.5129696969698,759.6845,4916,4504
geom,0.5,3,2,0.95,5,4.5,700.9405,692.3732344000001,891.0304696969698,696.91374,595,9261
geom,0.5,3,2,0.95,6,4.5,699.6202499999997,687.74826175,879.8492499999998,694.96985,9596,4012
geom,0.5,3,2,0.95,7,4.5,640.647,631.6935806000001,798.393,633.706865,6863,8874
geom,0.5,3,2,0.95,8,4.5,699.2785,690.6476504999999,889.5757424242425,694.5142499999998,296,1833
geom,0.5,3,2,0.95,9,4.5,760.5195,755.2560536666666,967.4330227272727,758.0695,2184,9617
geom,0.5,3,2,0.975,0,4.5,917.797,915.0259903333333,1149.3868030303033,916.86831,5581,2769
geom,0.5,3,2,0.975,1,4.5,838.612,834.7725416666666,1055.091340909091,837.1715,9257,4102
geom,0.5,3,2,0.975,2,4.5,841.3715,839.9185846833333,1065.4347878787878,839.9805,2708,4964
geom,0.5,3,2,0.975,3,4.5,840.105,836.3566041333333,1050.9212727272727,838.666,841,5544
geom,0.5,3,2,0.975,4,4.5,917.4835,915.422051,1151.195378787879,916.6603400000001,3998,894
geom,0.5,3,2,0.975,5,4.5,840.9579999999983,836.9292715166649,1058.33650681818,839.5513124999983,830,2559
geom,0.5,3,2,0.975,6,4.5,917.0775,913.8920515333334,1138.4855984848487,916.2726599999999,6852,4028
geom,0.5,3,2,0.975,7,4.5,916.994,916.3143062500001,1141.275,915.9656000000001,6212,8689
geom,0.5,3,2,0.975,8,4.5,838.1445,834.6984608,1052.0684015151514,836.6385250000001,1384,6466
geom,0.5,3,2,0.975,9,4.5,769.2545,761.2989782666666,969.2679772727272,766.5895,1937,784
geom,0.5,3,2,0.99,0,4.5,1083.24995,1082.0008972,1319.0659500000002,1082.8323400000002,4036,7218
geom,0.5,3,2,0.99,1,4.5,1000.8239500000001,1000.1979517500001,1241.2319786363635,1000.4171400000001,914,5373
geom,0.5,3,2,0.99,2,4.5,917.4165,915.5332408666667,1147.8379545454545,916.5825,2279,6091
geom,0.5,3,2,0.99,3,4.5,1079.4605,1078.8856838,1327.704106060606,1079.2361799999999,711,1247
geom,0.5,3,2,0.99,4,4.5,1165.570144999999,1165.2122202666658,1404.5512033333328,1165.444924999999,6196,3120
