distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
binom,2.0,3,1,0.975,6.0,4.5,1821.4590500000002,1823.8337236622224,2644.825000757575,1821.432661,4307.0,3412.4
binom,2.0,3,1,0.99,6.0,4.5,2089.6966979999997,2092.4600408111105,2942.6962922424236,2089.80561156,3953.8,3775.5
binom,2.0,3,2,0.95,6.0,4.5,1606.0131999999999,1625.2670367233331,2493.034448333333,1605.9537026,4378.3,3361.7
binom,2.0,3,2,0.975,6.0,4.5,1806.426025,1816.8422844666668,2759.3141709090905,1806.4198250000002,4605.0,3544.0
binom,2.0,3,2,0.99,6.0,4.5,2081.8503189999997,2086.0994004999993,3072.150743545454,2081.8492459999998,3992.9,3764.9
binom,2.0,5,1,0.95,8.0,4.5,1985.8686149999999,1949.5183188266662,3633.16380772727,1998.1849399999999,4580.3,3067.9
binom,2.0,5,1,0.975,8.0,4.5,2210.0679574999995,2195.8298110799983,3951.9456121212083,2235.3446624999992,4509.7,4085.6
binom,2.0,5,1,0.99,8.0,4.5,2515.597407,2511.9999299266665,4323.7322253939365,2528.764464,4307.0,3412.4
binom,2.0,5,2,0.95,8.0,4.5,1985.8804149999996,1977.8923364699997,2783.6170484848453,1974.7403429999995,3953.8,3775.5
binom,2.0,5,2,0.975,8.0,4.5,2218.2615075,2217.818831169999,3118.3326998484818,2218.3438761999996,4378.3,3361.7
binom,2.0,5,2,0.99,8.0,4.5,2506.9815639999997,2509.0516612133333,3460.0233142424213,2507.6065929999995,4605.0,3544.0
binom,2.0,5,3,0.95,8.0,4.5,1990.8636299999994,2005.292218039999,2915.16256833333,1989.3177459999995,3992.9,3764.9
binom,2.0,5,3,0.975,8.0,4.5,2204.5760024999995,2213.429437393332,3232.9771721212082,2204.6529545,4580.3,3067.9
binom,2.0,5,3,0.99,8.0,4.5,2515.0286969999997,2519.2813396177776,3601.4613463030278,2515.2196072799998,4509.7,4085.6
binom,2.0,10,1,0.95,13.0,4.5,2790.4131,2635.53152848,9097.38181954547,2660.89703,4307.0,3412.4
binom,2.0,10,1,0.975,13.0,4.5,3021.0517449999998,2956.6289581577776,9487.46259545456,2989.7363275,3953.8,3775.5
binom,2.0,10,1,0.99,13.0,4.5,3391.3768599999994,3372.9077620999988,9982.426476515167,3393.8818409999994,4378.3,3361.7
binom,2.0,10,2,0.95,13.0,4.5,2791.1856,2679.51508936,6778.492962121221,2716.2742,4605.0,3544.0
binom,2.0,10,2,0.975,13.0,4.5,3004.9966199999994,2960.7221035333323,7196.25659401516,3013.8589924999997,3992.9,3764.9
binom,2.0,10,2,0.99,13.0,4.5,3395.5042939999994,3383.3386927133324,7698.639145000008,3412.2075979999995,4580.3,3067.9
binom,2.0,10,3,0.95,13.0,4.5,2787.3089,2714.152845737778,5092.621027575758,2789.1026100000004,4509.7,4085.6
binom,2.0,10,3,0.975,13.0,4.5,2991.47151,2967.256984695555,5516.408870075758,3027.1126324999996,4307.0,3412.4
binom,2.0,10,3,0.99,13.0,4.5,3438.6457819999996,3432.4850606177774,6085.998541696971,3466.5851589999997,3953.8,3775.5
binom,3.0,2,1,0.95,6.0,4.5,1385.8422049999997,1413.277481382222,2303.89642939394,1385.7930012999998,4378.3,3361.7
