distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
norm,0.5,5,3,0.975,0,6.5,4776.763097055152,4699.9201752728295,4717.660577491744,4908.44956422126,764,8115
norm,0.5,5,3,0.975,1,6.5,4734.569425614305,4655.617982956634,4676.167649424198,4863.479167686266,9912,5706
norm,0.5,5,3,0.975,2,6.5,4627.545862609767,4588.765346858641,4605.649305501058,4744.684653562959,5905,160
norm,0.5,5,3,0.975,3,6.5,4662.025633204013,4592.8657748800815,4607.98491995495,4744.106126297139,8321,6196
norm,0.5,5,3,0.975,4,6.5,4698.967708620934,4634.038551677113,4653.102837591914,4772.454034871257,5423,5023
norm,0.5,5,3,0.975,5,6.5,4605.224792470763,4530.850015091359,4545.3003513764515,4678.342805028722,1954,5637
norm,0.5,5,3,0.975,6,6.5,4280.379558902273,4287.460690491326,4297.12361375057,4440.554230119556,854,1768
norm,0.5,5,3,0.975,7,6.5,4375.16869959246,4342.1507154123055,4353.584477972418,4464.526063000579,8499,6129
norm,0.5,5,3,0.975,8,6.5,4459.212943290449,4456.652966360228,4471.58185439576,4618.469068000009,6314,9488
norm,0.5,5,3,0.975,9,6.5,4585.737796262035,4565.929833079298,4582.991047575137,4732.209833986961,706,357
norm,0.5,5,3,0.99,0,6.5,5498.76737553603,5379.753872802191,5403.023322254956,5621.286667494891,4681,318
norm,0.5,5,3,0.99,1,6.5,5225.183297630814,5178.871050727673,5203.971383082722,5350.238379927932,3591,6016
norm,0.5,5,3,0.99,2,6.5,5354.943432576313,5308.162273105652,5334.070282537838,5571.3462017142765,7576,6211
norm,0.5,5,3,0.99,3,6.5,5136.8036125695835,5044.651023610854,5072.676845521311,5284.651728393432,3310,7130
norm,0.5,5,3,0.99,4,6.5,5396.052873423561,5336.796695472007,5362.222925585931,5565.254770129946,1321,8596
norm,0.5,5,3,0.99,5,6.5,5027.835179167114,4956.73785138458,4985.198830629905,5171.572802902681,3719,6729
norm,0.5,5,3,0.99,6,6.5,5402.580760732119,5304.247148960216,5323.310009187849,5534.3675355461655,8604,4448
norm,0.5,5,3,0.99,7,6.5,5077.906825757453,5021.787044606924,5046.71012759042,5255.279314649706,7093,4133
norm,0.5,5,3,0.99,8,6.5,5167.24680659358,5121.159128365381,5140.924228053001,5364.625937905548,3239,4125
norm,0.5,5,3,0.99,9,6.5,4976.309100829121,4936.116946593081,4957.390011590653,5125.548486618325,967,6426
norm,0.5,10,1,0.95,0,11.5,5971.95971981098,3326.4292522583414,3471.930351113747,3474.1625454044047,2761,2454
norm,0.5,10,1,0.95,1,11.5,6055.823770546816,3382.0595412635007,3518.126086889048,3536.151228559197,999,6703
norm,0.5,10,1,0.95,2,11.5,5746.437811735368,3292.541084149164,3446.311327626258,3450.691401128746,1832,8765
norm,0.5,10,1,0.95,3,11.5,6172.888898291997,3407.098172293685,3552.0434482247215,3563.523830523161,3397,3471
norm,0.5,10,1,0.95,4,11.5,5925.358032513343,3288.0768135971603,3432.4475378131447,3443.0131448117068,2224,6452
norm,0.5,10,1,0.95,5,11.5,6086.791840119703,3332.573864712827,3462.514589564248,3459.953617979978,3433,7606
norm,0.5,10,1,0.95,6,11.5,5985.092163408991,3374.6974665718985,3507.4895123951064,3523.815911426602,8048,1338
norm,0.5,10,1,0.95,7,11.5,5781.21307832939,3292.509035326654,3431.3112630466157,3467.9831404792917,1905,3342
norm,0.5,10,1,0.95,8,11.5,5935.747529808217,3358.4278510805193,3487.502179762653,3512.9899671115763,3436,4530
norm,0.5,10,1,0.95,9,11.5,6034.600165222769,3405.6554520451205,3562.739360861095,3584.5027650795823,7998,4153
norm,0.5,10,1,0.975,0,11.5,6201.844912499246,3601.490024168105,3768.81273784135,3785.351767509725,7611,177
