distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,1.0,3,1,0.975,5.0,4.5,3616.523867290473,3610.7230171893034,4918.419661680983,3615.743712239078,5531.0,4214.3
norm,1.0,3,1,0.99,5.0,4.5,4210.303791962231,4212.033938756835,5571.862517462185,4210.502471546502,7083.0,5396.8
norm,1.0,3,2,0.95,5.0,4.5,3165.1242395346535,3183.4971151270934,4874.487657620578,3164.53700755783,5119.8,5842.8
norm,1.0,3,2,0.975,5.0,4.5,3562.906408927053,3573.890542946642,5381.145550910035,3562.848454875485,4237.0,4736.6
norm,1.0,3,2,0.99,5.0,4.5,4134.2388680663,4138.851154645034,6024.387610888979,4134.230201552425,4458.2,4510.7
norm,1.0,5,1,0.95,7.0,4.5,3897.2862901470885,3813.834156142538,7352.636692925165,3869.7967719706635,4320.1,4396.3
norm,1.0,5,1,0.975,7.0,4.5,4367.43841453789,4330.4261414968805,8008.811627404655,4375.301283688781,5763.0,4919.3
norm,1.0,5,1,0.99,7.0,4.5,5151.53219251832,5143.634226303143,8929.44167758762,5168.40317573932,3607.8,5604.7
norm,1.0,5,2,0.95,7.0,4.5,3894.7287306130265,3858.5832440480976,5416.685603120282,3868.232121397044,6228.0,6047.7
norm,1.0,5,2,0.975,7.0,4.5,4379.64724299755,4368.770924619799,6094.587716804603,4376.256757579165,5593.2,3537.1
norm,1.0,5,2,0.99,7.0,4.5,5063.860992847791,5063.147221239957,6891.297331280686,5065.178518738654,3724.4,5959.4
norm,1.0,5,3,0.95,7.0,4.5,3968.3620222211257,3975.2225330673964,6040.5190615291995,3964.0020947610296,4476.6,6032.5
norm,1.0,5,3,0.975,7.0,4.5,4400.286353169591,4407.36148087527,6584.684730950879,4400.016910069085,6600.1,4866.1
norm,1.0,5,3,0.99,7.0,4.5,5137.220539603707,5140.605875643943,7496.93661622441,5137.528811545224,6246.4,5415.6
norm,1.0,10,1,0.95,12.0,4.5,5525.247540978658,5191.686311430816,21585.583278976883,5237.292945740186,4065.7,4991.3
norm,1.0,10,1,0.975,12.0,4.5,6045.746527520443,5930.33749839042,22774.318764727876,5989.008227558622,4596.4,4348.5
norm,1.0,10,1,0.99,12.0,4.5,6723.841218106824,6674.283271467725,23561.95022469677,6709.836442504151,4179.7,3931.3
norm,1.0,10,2,0.95,12.0,4.5,5512.766444047846,5270.032365826198,15626.614299446654,5274.059042517896,6025.6,5324.2
norm,1.0,10,2,0.975,12.0,4.5,6015.400442563337,5926.001972245964,16637.65359513856,5977.4534107817835,4234.3,5308.5
norm,1.0,10,2,0.99,12.0,4.5,6727.417371825909,6696.258226359382,17526.68099935835,6746.9597802574835,5069.3,6484.2
norm,1.0,10,3,0.95,12.0,4.5,5545.785405920444,5391.466850446672,11279.749583815694,5384.834836876145,6240.9,3282.0
norm,1.0,10,3,0.975,12.0,4.5,6038.429461748228,5985.921257152446,12204.982114529375,6031.769651255569,4305.2,5496.6
norm,1.0,10,3,0.99,12.0,4.5,6719.602117115783,6700.9014110297285,13076.755578222337,6762.326829182464,3374.5,6685.7
