distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
geom,0.5,10,2,0.975,11.5,4.5,1312.5232312499998,1275.8387383066668,3100.4776562878787,1277.0177249999997,2691.1,5079.7
geom,0.5,10,2,0.99,11.5,4.5,1527.42965,1514.7808329616666,3411.7475279545456,1518.2860145,2240.7,4623.8
geom,0.5,10,3,0.95,11.5,4.5,1198.3343999999997,1131.5375129177778,2116.7637232575753,1117.6378859999998,2403.6,5157.9
geom,0.5,10,3,0.975,11.5,4.5,1318.134775,1291.5175592955554,2359.3988452272724,1290.26535025,2207.6,4632.6
geom,0.5,10,3,0.99,11.5,4.5,1533.9799500000001,1524.7359160755555,2653.498048469696,1526.434767,2691.1,5079.7
geom,1.0,2,1,0.95,4.0,4.5,642.82545,636.0065788777777,821.6273393939395,639.84244,2240.7,4623.8
geom,1.0,2,1,0.975,4.0,4.5,739.5835499999997,735.5721335644442,930.1253496212119,738.0416884999997,2403.6,5157.9
geom,1.0,2,1,0.99,4.0,4.5,918.2841000000001,917.2171101155557,1122.0231787878788,917.76703951,2207.6,4632.6
geom,1.0,3,1,0.95,5.0,4.5,719.053,705.1557899844445,883.449806060606,708.4912265,2691.1,5079.7
geom,1.0,3,1,0.975,5.0,4.5,829.3777399999996,821.2882884999996,1013.1411736363631,824.5133484999994,2240.7,4623.8
geom,1.0,3,1,0.99,5.0,4.5,1059.1887779999997,1057.159300188889,1260.6204735151514,1058.0792355299998,2403.6,5157.9
geom,1.0,3,2,0.95,5.0,4.5,725.0287000000001,719.80801702,940.306780909091,722.703388,2207.6,4632.6
geom,1.0,3,2,0.975,5.0,4.5,829.7469849999992,826.4889591566658,1070.8611157575747,828.5907115999992,2691.1,5079.7
geom,1.0,3,2,0.99,5.0,4.5,1075.5093819999997,1075.2600649366664,1344.4034846060606,1075.3126699999998,2240.7,4623.8
geom,1.0,5,1,0.95,7.0,4.5,879.6420199999995,848.4673255222217,1494.6171378787872,848.3083009999995,2403.6,5157.9
geom,1.0,5,1,0.975,7.0,4.5,1013.4354799999998,1000.6434757888886,1676.3010425757573,1001.7748424999997,2207.6,4632.6
geom,1.0,5,1,0.99,7.0,4.5,1204.7606279999998,1200.1522239377778,1897.3451719393936,1201.2712029999998,2691.1,5079.7
geom,1.0,5,2,0.95,7.0,4.5,874.9400199999991,855.241370636666,1057.917906969696,854.7305499999991,2240.7,4623.8
geom,1.0,5,2,0.975,7.0,4.5,1007.5226799999995,998.4730513066663,1235.4026839393932,1000.3802209999994,2403.6,5157.9
geom,1.0,5,2,0.99,7.0,4.5,1203.707076,1200.6568008,1457.4677020606061,1201.9020659999999,2207.6,4632.6
geom,1.0,5,3,0.95,7.0,4.5,884.4656199999994,876.054501155555,1119.6832663636355,874.6427049999995,2691.1,5079.7
geom,1.0,5,3,0.975,7.0,4.5,1007.4822599999995,1002.7789330088884,1290.9635239393933,1004.0263047249995,2240.7,4623.8
geom,1.0,5,3,0.99,7.0,4.5,1197.1122599999999,1195.3564544844444,1510.6907226666667,1196.4019533399999,2403.6,5157.9
geom,1.0,10,1,0.95,12.0,4.5,1209.2780899999998,1100.6998597688887,3864.428853636365,1104.7674439999998,2207.6,4632.6
geom,1.0,10,1,0.975,12.0,4.5,1316.9607525,1268.30431058,4063.6149574242445,1275.19618,2691.1,5079.7
geom,1.0,10,1,0.99,12.0,4.5,1529.171736,1512.4831207822222,4374.575122909095,1517.41546052,2240.7,4623.8
geom,1.0,10,2,0.95,12.0,4.5,1207.5941399999997,1119.1986986099996,2856.455724545454,1112.5138319999999,2403.6,5157.9
geom,1.0,10,2,0.975,12.0,4.5,1322.46279,1286.457513613333,3095.8479687878785,1288.0044999999998,2207.6,4632.6
geom,1.0,10,2,0.99,12.0,4.5,1535.69526,1523.10111821,3385.1817207878776,1525.773385,2691.1,5079.7
geom,1.0,10,3,0.95,12.0,4.5,1208.27814,1143.3175174977775,2120.344508787878,1131.2650199999996,2240.7,4623.8
geom,1.0,10,3,0.975,12.0,4.5,1322.615865,1295.6478125666665,2345.414053712121,1294.3731003846153,2403.6,5157.9
geom,1.0,10,3,0.99,12.0,4.5,1535.131152,1525.9836319244446,2626.7278648484844,1527.8215420000001,2207.6,4632.6
geom,2.0,2,1,0.95,5.0,4.5,653.4460999999999,651.4160460688888,893.7338863636365,650.9842729999999,2691.1,5079.7
geom,2.0,2,1,0.975,5.0,4.5,738.5126999999998,737.4979456977776,993.2295189393939,737.1397964999999,2240.7,4623.8
geom,2.0,2,1,0.99,5.0,4.5,937.4132400000001,937.9300558244444,1211.302983030303,937.05122142,2403.6,5157.9
geom,2.0,3,1,0.95,6.0,4.5,737.50415,727.9351402466666,963.9733787878788,727.860546,2207.6,4632.6
geom,2.0,3,1,0.975,6.0,4.5,836.9640824999991,830.6655599466658,1086.8471679545446,832.1576594999991,2691.1,5079.7
geom,2.0,3,1,0.99,6.0,4.5,1077.7944289999998,1076.7789692399997,1352.579250212121,1076.8079029999997,2240.7,4623.8
geom,2.0,3,2,0.95,6.0,4.5,737.6915999999999,738.2701033933333,1001.9586296969698,735.606346,2403.6,5157.9
geom,2.0,3,2,0.975,6.0,4.5,850.3413574999993,850.7391775433327,1149.3197315151506,849.4758235714278,2207.6,4632.6
geom,2.0,3,2,0.99,6.0,4.5,1069.8403039999998,1070.7114475833332,1395.6371728181814,1069.6405275714283,2691.1,5079.7
geom,2.0,5,1,0.95,8.0,4.5,890.0368099999993,857.3309488333325,1541.6972265151505,855.5668879999992,2240.7,4623.8
geom,2.0,5,1,0.975,8.0,4.5,1014.8295024999995,1001.0696982466661,1725.7628341666664,1001.4175549999997,2403.6,5157.9
geom,2.0,5,1,0.99,8.0,4.5,1206.6433229999998,1202.1765330333333,1947.5483882121207,1202.9027459999998,2207.6,4632.6
geom,2.0,5,2,0.95,8.0,4.5,898.7089349999994,882.6387835799994,1132.9277439393932,879.7638859999995,2691.1,5079.7
geom,2.0,5,2,0.975,8.0,4.5,1014.8024549999997,1007.3946403466664,1293.4962903030296,1007.9502464999996,2240.7,4623.8
geom,2.0,5,2,0.99,8.0,4.5,1200.1411549999998,1197.5222942366665,1507.2914569999998,1198.2724139999998,2403.6,5157.9
geom,2.0,5,3,0.95,8.0,4.5,898.8105449999991,895.1382366488882,1170.720981060605,890.1140839999993,2207.6,4632.6
geom,2.0,5,3,0.975,8.0,4.5,1020.8059649999998,1018.4847998355554,1348.6760862121207,1017.9163794999997,2691.1,5079.7
geom,2.0,5,3,0.99,8.0,4.5,1200.237643,1199.6449447155553,1557.5960186060606,1199.4720514399999,2240.7,4623.8
geom,2.0,10,1,0.95,13.0,4.5,1226.1136199999999,1106.9295710266665,3732.371515303028,1110.3979799999997,2403.6,5157.9
geom,2.0,10,1,0.975,13.0,4.5,1331.11882,1281.5407655022223,4003.9687724242394,1289.84085,2207.6,4632.6
geom,2.0,10,1,0.99,13.0,4.5,1539.12588,1522.0284313622221,4336.651032212119,1526.5601419999998,2691.1,5079.7
geom,2.0,10,2,0.95,13.0,4.5,1226.2414199999998,1137.01469271,2829.9618587878763,1137.1162409999997,2240.7,4623.8
geom,2.0,10,2,0.975,13.0,4.5,1331.2356699999998,1293.53324111,3070.4560756060587,1296.6968749999999,2403.6,5157.9
geom,2.0,10,2,0.99,13.0,4.5,1538.566556,1525.7740857533333,3344.6494879696957,1528.659536,2207.6,4632.6
geom,2.0,10,3,0.95,13.0,4.5,1224.1018399999998,1151.5180948311106,2144.516983333332,1135.4020849999995,2691.1,5079.7
geom,2.0,10,3,0.975,13.0,4.5,1330.8824399999999,1303.806006642222,2374.2021418939376,1303.5087514999998,2240.7,4623.8
geom,2.0,10,3,0.99,13.0,4.5,1552.879536,1544.5309178000002,2671.104786545453,1546.4600910000001,2403.6,5157.9
geom,3.0,2,1,0.95,6.0,4.5,670.16565,673.6336765755556,964.5053515151512,668.187305,2207.6,4632.6
geom,3.0,2,1,0.975,6.0,4.5,752.4006999999996,754.4309017022218,1062.0866759090902,751.3848989999996,2691.1,5079.7
geom,3.0,2,1,0.99,6.0,4.5,939.9098800000002,941.6782802755555,1271.7814542424242,939.56870908,2240.7,4623.8
geom,3.0,3,1,0.95,7.0,4.5,750.1429,743.4337021399999,1024.308124242424,739.9503520000001,2403.6,5157.9
geom,3.0,3,1,0.975,7.0,4.5,857.0274799999994,853.7397612777771,1161.0601242424232,852.6446899999994,2207.6,4632.6
geom,3.0,3,1,0.99,7.0,4.5,1072.2450759999997,1072.0019208533333,1399.9354450909086,1071.1772867899997,2691.1,5079.7
geom,3.0,3,2,0.95,7.0,4.5,744.7702999999999,751.0906084966666,1046.5974593939395,742.8045079999999,2240.7,4623.8
geom,3.0,3,2,0.975,7.0,4.5,850.1928199999995,853.5001746333328,1192.3688181818175,849.3609759999996,2403.6,5157.9
geom,3.0,3,2,0.99,7.0,4.5,1055.668064,1057.8725125066662,1429.784611151515,1055.464712,2207.6,4632.6
geom,3.0,5,1,0.95,9.0,4.5,912.9522499999996,881.9171824333329,1612.8979675757564,880.4628919999996,2691.1,5079.7
geom,3.0,5,1,0.975,9.0,4.5,1022.1226499999997,1008.8957277777774,1774.3467623484842,1007.9493569999997,2240.7,4623.8
geom,3.0,5,1,0.99,9.0,4.5,1203.1700499999997,1198.6246155355554,1991.8121850606053,1198.8546023999997,2403.6,5157.9
geom,3.0,5,2,0.95,9.0,4.5,913.0421499999993,899.0518028066659,1187.0828136363625,893.6286849999993,2207.6,4632.6
geom,3.0,5,2,0.975,9.0,4.5,1027.9164499999997,1022.5408785966663,1352.5884810606055,1020.8502604999998,2691.1,5079.7
