distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
binom,0.5,5,1,0.95,8,6.5,1999.302,1962.7193402666667,3659.551681818183,1998.2815,5002,1947
binom,0.5,5,1,0.95,9,6.5,1941.1652499999996,1895.133916022222,3548.075880303031,1915.2695249999995,7660,3664
binom,0.5,5,1,0.975,0,6.5,2139.090937499999,2110.3588816666634,3824.1067670454536,2135.013674999999,2814,56
binom,0.5,5,1,0.975,1,6.5,2197.804187499998,2179.6641949999967,3908.411587121211,2210.086162499999,5249,6708
binom,0.5,5,1,0.975,2,6.5,2199.1936874999983,2181.4578520222194,3900.131462121211,2209.1675499999988,1148,5979
binom,0.5,5,1,0.975,3,6.5,2201.1845,2184.7102198222224,3882.017257575759,2207.048,8373,3157
binom,0.5,5,1,0.975,4,6.5,2210.712812500001,2192.0165102000005,3909.552812500001,2215.019812500001,81,3501
binom,0.5,5,1,0.975,5,6.5,2272.584812500001,2257.7135483,4005.480176136364,2279.517837500001,5002,1947
binom,0.5,5,1,0.975,6,6.5,2126.7915,2102.686972977778,3807.861272727274,2120.0185,7660,3664
binom,0.5,5,1,0.975,7,6.5,2139.090937499999,2110.3588816666634,3824.1067670454536,2135.013674999999,2814,56
binom,0.5,5,1,0.975,8,6.5,2197.804187499998,2179.6641949999967,3908.411587121211,2210.086162499999,5249,6708
binom,0.5,5,1,0.975,9,6.5,2199.1936874999983,2181.4578520222194,3900.131462121211,2209.1675499999988,1148,5979
binom,0.5,5,1,0.99,0,6.5,2511.493,2507.0035837333335,4246.026045454547,2517.172,8373,3157
binom,0.5,5,1,0.99,1,6.5,2441.3602499999993,2433.8274735999994,4166.190625909092,2446.5395549999994,81,3501
binom,0.5,5,1,0.99,2,6.5,2590.4845,2585.760448,4367.315545454547,2595.233,5002,1947
binom,0.5,5,1,0.99,3,6.5,2497.0674999999997,2491.7307547777773,4262.576821818183,2499.0437899999997,7660,3664
binom,0.5,5,1,0.99,4,6.5,2514.763725,2506.8964174999987,4269.181489242425,2517.1375599999997,2814,56
binom,0.5,5,1,0.99,5,6.5,2429.3195,2421.2533583333334,4162.305038939395,2439.14679,5249,6708
binom,0.5,5,1,0.99,6,6.5,2582.225,2577.0108264444443,4340.3744393939405,2588.9705,1148,5979
binom,0.5,5,1,0.99,7,6.5,2511.493,2507.0035837333335,4246.026045454547,2517.172,8373,3157
binom,0.5,5,1,0.99,8,6.5,2441.3602499999993,2433.8274735999994,4166.190625909092,2446.5395549999994,81,3501
binom,0.5,5,1,0.99,9,6.5,2590.4845,2585.760448,4367.315545454547,2595.233,5002,1947
binom,0.5,5,2,0.95,0,6.5,1941.1652499999996,1916.1458688666664,2584.7942651515145,1920.2454749999997,7660,3664
binom,0.5,5,2,0.95,1,6.5,1898.5902499999995,1869.7675762499998,2509.2587651515146,1876.0330099999999,2814,56
binom,0.5,5,2,0.95,2,6.5,1939.1985,1915.9580975000001,2588.241424242424,1934.9925,5249,6708
binom,0.5,5,2,0.95,3,6.5,2001.3987499999996,1984.0125305999998,2670.6111439393935,1990.9122499999996,1148,5979
binom,0.5,5,2,0.95,4,6.5,1944.6333749999974,1924.6965311833299,2595.4656666666624,1940.5223999999976,8373,3157
binom,0.5,5,2,0.95,5,6.5,1952.56,1931.82428745,2602.7334848484843,1941.706,81,3501
binom,0.5,5,2,0.95,6,6.5,1999.302,1980.446856,2674.331848484848,1995.02,5002,1947
binom,0.5,5,2,0.95,7,6.5,1941.1652499999996,1916.1458688666664,2584.7942651515145,1920.2454749999997,7660,3664
binom,0.5,5,2,0.95,8,6.5,1898.5902499999995,1869.7675762499998,2509.2587651515146,1876.0330099999999,2814,56
binom,0.5,5,2,0.95,9,6.5,1939.1985,1915.9580975000001,2588.241424242424,1934.9925,5249,6708
binom,0.5,5,2,0.975,0,6.5,2199.1936874999983,2192.2279942999967,2934.1690871212095,2200.2779874999983,1148,5979
binom,0.5,5,2,0.975,1,6.5,2201.1845,2195.6759778,2937.7038939393933,2204.5785,8373,3157
binom,0.5,5,2,0.975,2,6.5,2210.712812500001,2204.1432106500006,2948.1312973484837,2210.455312500001,81,3501
binom,0.5,5,2,0.975,3,6.5,2272.584812500001,2266.6687497000007,3021.3712518939387,2274.126312500001,5002,1947
binom,0.5,5,2,0.975,4,6.5,2126.7915,2116.146294933333,2845.9390151515145,2119.6875,7660,3664
binom,0.5,5,2,0.975,5,6.5,2139.090937499999,2127.1103004166634,2857.7600492424217,2136.5974374999987,2814,56
binom,0.5,5,2,0.975,6,6.5,2197.804187499998,2189.5076899999967,2937.772799242422,2201.0152374999984,5249,6708
binom,0.5,5,2,0.975,7,6.5,2199.1936874999983,2192.2279942999967,2934.1690871212095,2200.2779874999983,1148,5979
binom,0.5,5,2,0.975,8,6.5,2201.1845,2195.6759778,2937.7038939393933,2204.5785,8373,3157
binom,0.5,5,2,0.975,9,6.5,2210.712812500001,2204.1432106500006,2948.1312973484837,2210.455312500001,81,3501
binom,0.5,5,2,0.99,0,6.5,2590.4845,2590.1733679999998,3376.151166666666,2591.6775,5002,1947
binom,0.5,5,2,0.99,1,6.5,2497.0674999999997,2496.311344333333,3284.864242424241,2496.6243949999994,7660,3664
binom,0.5,5,2,0.99,2,6.5,2514.763725,2513.4662612499988,3294.8952083333315,2515.4882299999995,2814,56
binom,0.5,5,2,0.99,3,6.5,2429.3195,2426.6926125,3201.5267333333327,2432.2079799999997,5249,6708
binom,0.5,5,2,0.99,4,6.5,2582.225,2582.1386595999998,3370.3251212121204,2583.716,1148,5979
binom,0.5,5,2,0.99,5,6.5,2511.493,2511.2080117166665,3291.113530303029,2513.913,8373,3157
binom,0.5,5,2,0.99,6,6.5,2441.3602499999993,2440.0029833999993,3210.392962121211,2442.152829999999,81,3501
binom,0.5,5,2,0.99,7,6.5,2590.4845,2590.1733679999998,3376.151166666666,2591.6775,5002,1947
binom,0.5,5,2,0.99,8,6.5,2497.0674999999997,2496.311344333333,3284.864242424241,2496.6243949999994,7660,3664
binom,0.5,5,2,0.99,9,6.5,2514.763725,2513.4662612499988,3294.8952083333315,2515.4882299999995,2814,56
binom,0.5,5,3,0.95,0,6.5,1939.1985,1935.9863633333332,2842.132272727272,1943.264,5249,6708
binom,0.5,5,3,0.95,1,6.5,2001.3987499999996,2001.9006652222217,2925.6749090909084,1997.7382499999994,1148,5979
binom,0.5,5,3,0.95,2,6.5,1944.6333749999974,1945.544361355552,2847.8060151515106,1943.261149999997,8373,3157
binom,0.5,5,3,0.95,3,6.5,1952.56,1951.4224046,2854.7565454545447,1949.28967,81,3501
binom,0.5,5,3,0.95,4,6.5,1999.302,1999.5078608,2928.295333333333,1998.0835,5002,1947
binom,0.5,5,3,0.95,5,6.5,1941.1652499999996,1939.5296876666662,2839.942469696969,1933.4198749999996,7660,3664
binom,0.5,5,3,0.95,6,6.5,1898.5902499999995,1895.5520777777774,2758.014053030303,1889.0612499999995,2814,56
binom,0.5,5,3,0.95,7,6.5,1939.1985,1935.9863633333332,2842.132272727272,1943.264,5249,6708
binom,0.5,5,3,0.95,8,6.5,2001.3987499999996,2001.9006652222217,2925.6749090909084,1997.7382499999994,1148,5979
binom,0.5,5,3,0.95,9,6.5,1944.6333749999974,1945.544361355552,2847.8060151515106,1943.261149999997,8373,3157
binom,0.5,5,3,0.975,0,6.5,2210.712812500001,2212.2312869000007,3205.3036761363633,2212.115812500001,81,3501
binom,0.5,5,3,0.975,1,6.5,2272.584812500001,2273.523544366667,3279.73174810606,2273.227312500001,5002,1947
binom,0.5,5,3,0.975,2,6.5,2126.7915,2127.9770188444445,3105.6501060606056,2124.5765,7660,3664
binom,0.5,5,3,0.975,3,6.5,2139.090937499999,2139.687617777774,3114.5353428030276,2137.741224999999,2814,56
binom,0.5,5,3,0.975,4,6.5,2197.804187499998,2199.523054166663,3197.8413409090886,2202.105349999999,5249,6708
binom,0.5,5,3,0.975,5,6.5,2199.1936874999983,2200.7892960333297,3194.107113636361,2199.0660749999984,1148,5979
binom,0.5,5,3,0.975,6,6.5,2201.1845,2202.641825822222,3195.1521060606055,2202.045,8373,3157
binom,0.5,5,3,0.975,7,6.5,2210.712812500001,2212.2312869000007,3205.3036761363633,2212.115812500001,81,3501
binom,0.5,5,3,0.975,8,6.5,2272.584812500001,2273.523544366667,3279.73174810606,2273.227312500001,5002,1947
binom,0.5,5,3,0.975,9,6.5,2126.7915,2127.9770188444445,3105.6501060606056,2124.5765,7660,3664
binom,0.5,5,3,0.99,0,6.5,2514.763725,2515.6134883333325,3555.3616030303015,2514.813375,2814,56
binom,0.5,5,3,0.99,1,6.5,2429.3195,2430.676166666666,3461.9890204545445,2430.726,5249,6708
binom,0.5,5,3,0.99,2,6.5,2582.225,2583.106904266667,3633.091681818181,2582.26,1148,5979
binom,0.5,5,3,0.99,3,6.5,2511.493,2512.4776908888884,3551.216287878787,2511.5425750000004,8373,3157
binom,0.5,5,3,0.99,4,6.5,2441.3602499999993,2442.5673105999995,3467.7904090909083,2441.874249999999,81,3501
binom,0.5,5,3,0.99,5,6.5,2590.4845,2591.3484658666666,3636.98056060606,2590.61792,5002,1947
binom,0.5,5,3,0.99,6,6.5,2497.0674999999997,2497.667284666666,3548.6622265151505,2496.8199999999997,7660,3664
binom,0.5,5,3,0.99,7,6.5,2514.763725,2515.6134883333325,3555.3616030303015,2514.813375,2814,56
binom,0.5,5,3,0.99,8,6.5,2429.3195,2430.676166666666,3461.9890204545445,2430.726,5249,6708
binom,0.5,5,3,0.99,9,6.5,2582.225,2583.106904266667,3633.091681818181,2582.26,1148,5979
binom,0.5,10,1,0.95,0,11.5,2673.380999999999,2523.4255459444444,10497.058530303033,2545.5129399999987,8373,3157
binom,0.5,10,1,0.95,1,11.5,2819.1625,2707.6577290000005,10836.909575757574,2731.775,81,3501
binom,0.5,10,1,0.95,2,11.5,2682.194,2525.6091981333334,10629.07274242424,2532.028,5002,1947
binom,0.5,10,1,0.95,3,11.5,2757.46675,2619.552318155556,10875.021553030303,2631.4298000000003,7660,3664
binom,0.5,10,1,0.95,4,11.5,2737.41175,2587.949995,10689.427916666671,2581.4885099999997,2814,56
binom,0.5,10,1,0.95,5,11.5,2768.1162500000005,2620.190795,10863.309199242429,2665.9845,5249,6708
binom,0.5,10,1,0.95,6,11.5,2770.87825,2582.3171463111107,10615.740598484852,2601.119474999998,1148,5979
binom,0.5,10,1,0.95,7,11.5,2673.380999999999,2523.4255459444444,10497.058530303033,2545.5129399999987,8373,3157
binom,0.5,10,1,0.95,8,11.5,2819.1625,2707.6577290000005,10836.909575757574,2731.775,81,3501
binom,0.5,10,1,0.95,9,11.5,2682.194,2525.6091981333334,10629.07274242424,2532.028,5002,1947
binom,0.5,10,1,0.975,0,11.5,2948.602687500001,2881.0028679222223,11132.82520265152,2901.199187500001,7660,3664
binom,0.5,10,1,0.975,1,11.5,3019.714875000001,2970.5455072222226,11303.834087121219,2983.3269649999997,2814,56
binom,0.5,10,1,0.975,2,11.5,3082.4990624999996,3023.813850833333,11360.285724242427,3060.3106749999993,5249,6708
binom,0.5,10,1,0.975,3,11.5,3035.803249999999,2960.3994222555552,11123.471598484852,2987.1493149999997,1148,5979
binom,0.5,10,1,0.975,4,11.5,2898.394437499999,2841.2045065666653,10915.594710227273,2868.9448274999977,8373,3157
binom,0.5,10,1,0.975,5,11.5,3038.811562499999,2986.373933599998,11262.023011363637,3011.1791499999986,81,3501
binom,0.5,10,1,0.975,6,11.5,2846.1883749999993,2775.082543466665,10881.37556098485,2792.800999999999,5002,1947
binom,0.5,10,1,0.975,7,11.5,2948.602687500001,2881.0028679222223,11132.82520265152,2901.199187500001,7660,3664
binom,0.5,10,1,0.975,8,11.5,3019.714875000001,2970.5455072222226,11303.834087121219,2983.3269649999997,2814,56
binom,0.5,10,1,0.975,9,11.5,3082.4990624999996,3023.813850833333,11360.285724242427,3060.3106749999993,5249,6708
binom,0.5,10,1,0.99,0,11.5,3441.660749999999,3414.3743058222217,11796.431428333337,3430.132324999999,1148,5979
binom,0.5,10,1,0.99,1,11.5,3227.477875,3208.972654355555,11340.174174242427,3230.0321949999993,8373,3157
binom,0.5,10,1,0.99,2,11.5,3606.0350000000003,3597.0995962000006,11931.891968484853,3611.935405,81,3501
binom,0.5,10,1,0.99,3,11.5,3094.7817499999983,3066.905112333332,11226.691893030309,3081.4009899999983,5002,1947
binom,0.5,10,1,0.99,4,11.5,3571.417499999998,3557.67596202222,11915.123729393945,3571.4536599999983,7660,3664
binom,0.5,10,1,0.99,5,11.5,3303.669249999999,3285.0627227777773,11539.235795454553,3296.1179899999993,2814,56
binom,0.5,10,1,0.99,6,11.5,3660.541250000001,3647.607296666668,12035.541886363639,3663.470430000001,5249,6708
binom,0.5,10,1,0.99,7,11.5,3441.660749999999,3414.3743058222217,11796.431428333337,3430.132324999999,1148,5979
binom,0.5,10,1,0.99,8,11.5,3227.477875,3208.972654355555,11340.174174242427,3230.0321949999993,8373,3157
binom,0.5,10,1,0.99,9,11.5,3606.0350000000003,3597.0995962000006,11931.891968484853,3611.935405,81,3501
